id_theme;sous_matiere_app;theme;nb_questions_associees;sessions;types_questions;score_priorite_provisoire;niveau_priorite;resume;points_cles;pieges;statut
THEME_VIRO_HERPESVIRIDAE_2022_S2;Virologie;HSV VZV et encéphalite herpétique;3;S2;"DL;QCM";96;Ultra prioritaire;Le DL re-teste fortement HSV/VZV : excrétion asymptomatique, aciclovir, kératite, zona, PCR lésion, transmission aérienne, encéphalite HSV-1.;"HSV-1/HSV-2; excrétion asymptomatique; aciclovir; kératite; VZV; zona; PCR lésion; transmission aérienne; encéphalite; HSV-1; urgence thérapeutique";"Confondre ganglions lymphatiques et ganglions nerveux sensitifs; attendre PCR pour traiter encéphalite; nier passage transplacentaire VZV";Non vu
THEME_VIRO_GASTROENTERITES_2022_S2;Virologie;Gastroentérites virales;1;S2;"DL;QCM";78;Haute;Question sur virus responsables de gastroentérites.;"Rotavirus; norovirus; adénovirus; gastroentérites virales";Confondre HPV ou VRS avec virus digestifs;Non vu
THEME_BACT_PNEUMONIE_COMMUNAUTAIRE_2022_S2;Bactériologie;Pneumonie bactérienne communautaire;5;S2;"DP;QCM;QROC";92;Ultra prioritaire;DP bactériologie sur pneumonie sévère : interprétation de crachat, prélèvement distal, pneumocoque, microbiote oropharyngé et antibiothérapie.;"Crachat; PNN; cellules épithéliales; lavage broncho-alvéolaire; prélèvement distal protégé; Streptococcus pneumoniae; pneumocoque; vaccin; bêta-lactamines; H. influenzae; S. aureus";"Incriminer une bactérie sans seuil; oublier pneumocoque première cause; dire que pneumocoque est Gram négatif ou toujours sensible amoxicilline";Non vu
THEME_BACT_LEGIONELLA_2022_S2;Bactériologie;Legionella pneumophila et légionellose;5;S2;"DP;QCM;QROC";97;Ultra prioritaire;Le cœur du DP : pneumonie sévère groupée dans un immeuble, échec C3G, Legionella pneumophila, antigénurie, déclaration obligatoire, source hydrique et traitement intracellulaire.;"Legionella pneumophila; pneumonie sévère; cas groupés; déclaration obligatoire; antigènes urinaires; macrolides; fluoroquinolones; diffusion intracellulaire; réseau eau chaude; climatisation; source environnementale";"Confondre avec transmission interhumaine; mettre isolement Air; traiter par bêta-lactamine seule; oublier l’eau chaude/climatisation";Non vu
THEME_BACT_PNEUMONIES_ATYPIQUES_INTRACELLULAIRES_2022_S2;Bactériologie;Pneumonies atypiques et bactéries intracellulaires;2;S2;"DP;QCM;QROC";88;Très haute;Le DP teste la nécessité d’antibiotiques à diffusion intracellulaire pour Legionella, Chlamydia pneumoniae et Mycobacterium tuberculosis.;"Macrolides; fluoroquinolones; Chlamydia pneumoniae; Mycobacterium tuberculosis; diffusion intracellulaire";"Confondre Chlamydia trachomatis avec Chlamydia pneumoniae; oublier les atypiques";Non vu
THEME_BACT_CDIFFICILE_2022_S2;Bactériologie;Clostridioides difficile post-antibiothérapie;2;S2;"DP;QROC";92;Ultra prioritaire;Fin du DP sur diarrhée fébrile après antibiothérapie hospitalière, orientant vers C. difficile et traitement attendu dans l’annale.;"Clostridioides difficile; diarrhée post-antibiothérapie; hôpital; toxines; métronidazole; Flagyl; anaérobies";"Oublier C. difficile après antibiothérapie; confondre avec diarrhée parasitaire; oublier la réponse attendue métronidazole dans l’annale";Non vu
THEME_BACT_ECBU_IU_2022_S2;Bactériologie;ECBU et infections urinaires;2;S2;"DL;QCM;QRU";92;Ultra prioritaire;DL bactériologie teste l’interprétation de l’ECBU avec cocci Gram positif en amas et le seuil de bactériurie dans l’infection urinaire masculine.;"ECBU; leucocyturie; cocci Gram positif en amas; Staphylococcus saprophyticus; infection urinaire masculine; seuil 1000 UFC/mL; Escherichia coli";"Appliquer automatiquement E. coli malgré le Gram; confondre les seuils selon contexte";Non vu
THEME_BACT_INFECTIONS_CUTANEES_2022_S2;Bactériologie;Infections cutanées profondes;1;S2;"DL;QCM";82;Haute;Question courte sur les infections cutanées profondes.;"Érysipèle; fasciite nécrosante; infections profondes; impétigo; folliculite; furonculose";Confondre infections superficielles et profondes;Non vu
THEME_BACT_RESPIRATOIRE_ORL_2022_S2;Bactériologie;ORL respiratoire pneumocoque Haemophilus angine;3;S2;"DL;QCM;QRU";92;Ultra prioritaire;DL bactériologie teste otite moyenne aiguë, pneumocoque/Haemophilus et diagnostic étiologique de l’angine de l’enfant.;"Otite moyenne aiguë; Streptococcus pneumoniae; Haemophilus influenzae; angine érythémateuse; test antigénique streptocoque A";"Confondre OMA avec streptocoque A; utiliser seulement le score Mac Isaac comme diagnostic étiologique";Non vu
THEME_BACT_STREPTOCOQUES_2022_S2;Bactériologie;Streptocoques hémolyse Lancefield et syphilis;2;S2;"DL;QCM";90;Ultra prioritaire;Questions sur les streptocoques et sur la syphilis, avec sérologie et benzathine-pénicilline.;"Streptocoques alpha-hémolytiques; S. pyogenes bêta-hémolytique; Lancefield; groupe A; syphilis; chancre; sérologie; benzathine-pénicilline";"Dire que S. pneumoniae est bêta-hémolytique; croire que disparition du chancre = guérison";Non vu
THEME_BACT_ENTEROCOQUE_LISTERIA_2022_S2;Bactériologie;Enterococcus faecalis et Listeria monocytogenes;2;S2;"DL;QCM";88;Très haute;DL bactériologie teste les portes d’entrée d’E. faecalis et les caractéristiques de Listeria.;"Enterococcus faecalis; porte digestive; porte urinaire; Listeria monocytogenes; infections materno-fœtales; contamination alimentaire; bacille Gram positif";"Traiter Listeria par C3G; faire une sérologie Listeria; confondre portes d’entrée";Non vu
THEME_BACT_HEMOCULTURES_2022_S2;Bactériologie;Hémocultures;1;S2;"DL;QCM";86;Très haute;Question sur les conditions de réalisation des hémocultures.;"Avant antibiothérapie; faible concentration bactérienne; pic fébrile; volume suffisant; sepsis";"Prélever 1 ml seulement; croire que le Gram direct sur sang est l’examen usuel";Non vu
THEME_BACT_MENINGITE_2022_S2;Bactériologie;Méningite bactérienne LCR;1;S2;"DL;QCM";88;Très haute;Question sur un LCR compatible avec méningite bactérienne malgré examen direct négatif.;"LCR; PNN; glycorachie/glycémie basse; protéinorachie; antigène soluble pneumocoque; examen direct négatif";Éliminer une méningite bactérienne si Gram négatif;Non vu
THEME_BACT_IST_2022_S2;Bactériologie;IST bactériennes syphilis gonocoque Chlamydia;2;S2;"DL;QCM";92;Ultra prioritaire;Le DL teste syphilis et gonocoque : diagnostic, formes asymptomatiques, PCR, culture et traitement.;"Syphilis; sérologie; chancre; benzathine-pénicilline; Neisseria gonorrhoeae; PCR; culture; asymptomatique; traitement";"Utiliser sérologie gonocoque; ne pas traiter les formes asymptomatiques";Non vu
THEME_BACT_DIARRHEES_2022_S2;Bactériologie;Diarrhées bactériennes toxinique et invasive;2;S2;"DL;QCM";90;Ultra prioritaire;Questions opposant diarrhée toxinique aqueuse et shigellose invasive glairo-sanglante.;"Choléra; ETEC; diarrhée aqueuse; processus toxinique; Shigella; diarrhée glairo-sanglante; voyage; processus invasif";"Confondre diarrhée toxinique et invasive; croire que Shigella n’est pas en coproculture standard";Non vu
THEME_BACT_ANTIBIOGRAMME_RESISTANCES_2022_S2;Bactériologie;Antibiogramme pénicillinases résistances naturelles;3;S2;"DL;QCM";95;Ultra prioritaire;Bloc très rentable sur antibiogramme, pénicillinases et résistances naturelles.;"Antibiogramme diffusion; diamètre inhibition; CMI; diamètres critiques; SIR; pénicillinase; S. aureus; E. coli; H. influenzae; résistances naturelles; mycoplasmes; entérocoques; Listeria";"Croire que grand diamètre = résistance; confondre pénicillinase et autres mécanismes; utiliser la question annulée pour scorer";Non vu
THEME_BACT_ANTIBIOTIQUES_2022_S2;Bactériologie;Antibiotiques peptidoglycane et aminosides;2;S2;"DL;QCM";92;Ultra prioritaire;Questions sur les familles d’antibiotiques : inhibition du peptidoglycane et aminosides.;"Amoxicilline; vancomycine; peptidoglycane; amikacine; aminosides; synthèse protéique; spectre large; anaérobies";"Confondre paroi et synthèse protéique; croire que les aminosides ne s’associent pas aux bêta-lactamines";Non vu
THEME_TRANSVERSAL_VACCINS_2022_S2;Transversal-Nosocomial;Vaccins rougeole pneumocoque;1;S2;"DL;QCM";82;Haute;Question sur vaccins vivants atténués et vaccins inertes, rougeole et pneumocoque.;"Vaccin rougeole atténué; vaccin pneumocoque inerte; obligation enfance; génie génétique";Attention à la réponse A non retenue dans la correction;Non vu
THEME_BACT_MICROBIOTE_VAGINAL_2022_S2;Bactériologie;Microbiote vaginal physiologique;1;S2;"DL;QRU";78;Haute;Question sur la bactérie dominante du microbiote vaginal physiologique.;"Lactobacillus spp; microbiote vaginal; Gardnerella; vaginose";Confondre Lactobacillus physiologique et Gardnerella pathologique;Non vu
THEME_VIRO_BASES_2023_S1;Virologie;Bases de virologie structure et réplication;4;S1;"DL;QCM";90;Ultra prioritaire;Le DL1 commence et revient plusieurs fois sur les bases : ADN/ARN, capside, enveloppe, tropisme, réplication intracellulaire, machinerie cellulaire et stabilité des virus nus.;"Génome ADN; génome ARN; capside protéique; enveloppe; tropisme; virus intracellulaire; machinerie cellulaire; virus nus stables; ribavirine non universelle";"Dire que tous les virus sont enveloppés; confondre culture virale et bactérienne; croire que tous les virus sont cultivables";Non vu
THEME_VIRO_HEPATITES_2023_S1;Virologie;Hépatites virales A B C;4;S1;"DL;QCM";96;Ultra prioritaire;Le DL1 teste VHC guéri, VHA et VHB chronique : anticorps persistants, absence ARN VHC, vaccin VHA et profil Ag HBs/anti-HBc.;"VHC guéri; anti-VHC; ARN VHC absent; VHA vaccin; VHA non chronique; VHB chronique; Ag HBs; anti-HBc; absence anti-HBs";"Confondre VHC et ADNccc du VHB; confondre hépatite B chronique et infection guérie/vaccination";Non vu
THEME_VIRO_EBV_MNI_2023_S1;Virologie;EBV et mononucléose infectieuse;1;S1;"DL;QCM";88;Très haute;Question classique sur confirmation de MNI par sérologie EBV et MNI-test.;"EBV; anti-VCA IgG/IgM; anti-EBNA; anticorps hétérophiles; MNI test";Utiliser PCR EBV nasopharyngée ou PCR CMV salive;Non vu
THEME_VIRO_HERPES_HSV_2023_S1;Virologie;HSV et antiviraux anti-herpès;2;S1;"DL;QCM";94;Ultra prioritaire;Deux questions sur HSV : molécules actives et diagnostic de lésions génitales par PCR sur lésion.;"HSV-1; HSV-2; foscarnet; aciclovir; valaciclovir; lésion génitale; PCR sur écouvillonnage lésion";"Utiliser sérologie HSV pour lésion active; confondre sofosbuvir/ténofovir avec anti-HSV";Non vu
THEME_VIRO_MENINGITE_VIRALE_2023_S1;Virologie;Méningite virale LCR;1;S1;"DL;QCM";88;Très haute;Question sur le profil du LCR compatible avec une méningite virale.;"LCR limpide; pléiocytose lymphocytaire; glycorachie normale; protéinorachie modérée";Confondre avec méningite bactérienne : hypoglycorachie et protéinorachie très élevée;Non vu
THEME_VIRO_ROUGEOLE_RUBEOLE_2023_S1;Virologie;Rougeole et rubéole grossesse;2;S1;"DL;QCM";92;Ultra prioritaire;Le DL1 teste rougeole et rubéole en grossesse : diagnostic ARN, encéphalite tardive, vaccin contre-indiqué grossesse, surveillance et vaccination post-partum.;"Rougeole; ARN gorge; encéphalite tardive; vaccin vivant; grossesse; rubéole non immunisée; contrôle sérologique; vaccination post-partum";"Confondre rougeole et BCG; vacciner rubéole pendant grossesse";Non vu
THEME_VIRO_PARVOVIRUS_B19_2023_S1;Virologie;Parvovirus B19 grossesse et anémie;1;S1;"DL;QCM";88;Très haute;Question sur transmission respiratoire et complications fœtales du parvovirus B19.;"Parvovirus B19; transmission respiratoire; anémie; anasarque fœto-placentaire";Confondre avec CMV/rubéole ou virus hépatotrope;Non vu
THEME_VIRO_GRIPPE_PANDEMIE_2023_S1;Virologie;Grippe pandémique;1;S1;"DL;QCM";86;Très haute;Question sur les mécanismes de pandémie grippale : réassortiment, adaptation aviaire et transmission directe.;"Grippe; cassure antigénique; réassortiment; virus aviaire; porc; transmission directe; glissement antigénique";Confondre glissement antigénique saisonnier et cassure pandémique;Non vu
THEME_VIRO_VIH_PRIMO_2023_S1;Virologie;Primo-infection VIH;1;S1;"DL;QCM";90;Ultra prioritaire;Question sur la primo-infection précoce : sérologie faible, charge virale forte et antigène p24.;"VIH; primo-infection; antigène p24; charge virale élevée; sérologie faiblement positive";Confondre primo-infection avec Western blot complet et charge virale indétectable;Non vu
THEME_VIRO_BIOCIDES_ANTIVIRAUX_2023_S1;Virologie;Biocides et antiviraux;2;S1;"DL;QCM";84;Haute;Questions sur l’activité des biocides selon virus nus/enveloppés et sur les antiviraux virostatiques.;"Éthanol; virus enveloppés; virus nus; composés phénoliques; antiviraux virostatiques; antiviraux directs VHC; voie systémique; voie locale";"Dire que les antiviraux sont virucides; croire que les produits iodés sont inactifs sur tous les virus";Non vu
THEME_VIRO_BRONCHIOLITE_VRS_2023_S1;Virologie;Bronchiolite à VRS;6;S1;"DP;QCM;QROC";96;Ultra prioritaire;DP entier sur bronchiolite du nourrisson : VRS, transmission, autres virus respiratoires, vaccins, prélèvements nasopharyngés et tests virologiques.;"VRS; bronchiolite nourrisson; gouttelettes; contacts manuportés; métapneumovirus; rhinovirus; parainfluenza; adénovirus; aspiration nasopharyngée; écouvillonnage nasopharyngé; test antigénique; PCR VRS; PCR multiplex";"Confondre VRS et virus digestifs; utiliser sérologie ou hémoculture; oublier prélèvement nasopharyngé; inventer vaccin rhinovirus/parainfluenza";Non vu
THEME_VIRO_GASTROENTERITES_2023_S1;Virologie;Gastro-entérites virales du nourrisson;5;S1;"DP;QCM;QROC";94;Ultra prioritaire;Deuxième partie du DP : diarrhée aqueuse en crèche, saison hivernale, virus digestifs, prélèvement de selles et tests antigéniques/PCR.;"Gastro-entérite virale; crèche; hiver; nourrisson; norovirus; rotavirus; astrovirus; adénovirus; selles; écouvillonnage rectal; ELISA; test rapide; PCR; transmission manuportée; aliments souillés";"Confondre gastro-entérite virale avec hépatite A; utiliser prélèvement respiratoire; privilégier culture virale; confondre transmission digestive et respiratoire";Non vu
THEME_BACT_MICROBIOTES_2023_S1;Bactériologie;Microbiotes et vaginose;2;S1;"DL;QCM";84;Haute;DL1 teste microbiotes cutané, intestinal, vaginal et vaginose.;"Microbiote cutané; Staphylococcus; Corynebacterium; anaérobies intestinaux; Lactobacillus; vaginose; clue cells";"Confondre Lactobacillus physiologique avec vaginose; confondre vaginose, candidose et trichomonase";Non vu
THEME_BACT_DIARRHEES_2023_S1;Bactériologie;Diarrhées bactériennes toxinique et invasive;2;S1;"DL;QCM";92;Ultra prioritaire;Deux QCM opposent shigellose invasive glairo-sanglante et diarrhée toxinique aqueuse de type choléra/ETEC.;"Shigella; diarrhée glairo-sanglante; voyage; processus invasif; choléra; ETEC; diarrhée aqueuse; processus toxinique";"Confondre invasive et toxinique; inclure Entamoeba ou Campylobacter dans le mauvais tableau";Non vu
THEME_BACT_IST_URETRITE_2023_S1;Bactériologie;IST et urétrites;1;S1;"DL;QCM";88;Très haute;Question sur les agents d’urétrite.;"Chlamydia trachomatis; Neisseria gonorrhoeae; Trichomonas vaginalis; urétrite";Inclure H. influenzae ou S. agalactiae;Non vu
THEME_BACT_NEONATAL_2023_S1;Bactériologie;Infections néonatales bactériennes précoces;1;S1;"DL;QCM";88;Très haute;Question sur les agents classiques d’infections néonatales bactériennes précoces.;"Escherichia coli; Streptococcus agalactiae; infections néonatales précoces";Attention à Listeria discutée ailleurs, mais non retenue dans cette correction;Non vu
THEME_BACT_ANGINE_2023_S1;Bactériologie;Angine et streptocoque A;1;S1;"DL;QCM";88;Très haute;Question sur angine érythémato-pultacée, TROD et traitement.;"Angine; TROD streptocoque A; angine souvent virale; amoxicilline; macrolides résistance possible";"Antibiothérapie systématique sans test; croire macrolides toujours actifs";Non vu
THEME_BACT_ENTEROCOQUES_2023_S1;Bactériologie;Entérocoques;1;S1;"DL;QCM";86;Très haute;Question sur les entérocoques, leur place dans le microbiote digestif et leur résistance naturelle aux céphalosporines.;"Enterococcus; microbiote digestif; résistance naturelle céphalosporines; cocci Gram positif";"Les classer comme bacilles Gram négatif; croire résistance naturelle aux aminopénicillines";Non vu
THEME_BACT_BETALACTAMASES_2023_S1;Bactériologie;Bêta-lactamases et amoxicilline-acide clavulanique;1;S1;"DL;QCM";90;Ultra prioritaire;Question sur les espèces pouvant être résistantes à l’amoxicilline mais sensibles à amoxicilline-acide clavulanique.;"Haemophilus influenzae; Moraxella catarrhalis; Staphylococcus aureus; bêta-lactamase; acide clavulanique";Inclure Streptococcus pyogenes ou pneumocoque dans ce mécanisme;Non vu
THEME_BACT_ECBU_IU_2023_S1;Bactériologie;ECBU et infections urinaires;3;S1;"DL;QCM;QRU";95;Ultra prioritaire;DL1 teste recueil ECBU, interprétation avec bacilles Gram négatif, résistances d’E. coli et seuil de bactériurie chez la femme.;"ECBU; conservation 4°C; toilette; deuxième jet; avant antibiothérapie; bacilles Gram négatif; E. coli; Proteus; seuil 1000 UFC/mL; résistances naturelles E. coli";"Recueillir premier jet; conclure contamination à tort; confondre seuils; confondre résistance naturelle/acquise";Non vu
THEME_BACT_GRAM_STRUCTURE_2023_S1;Bactériologie;Coloration de Gram et structure bactérienne;1;S1;"DL;QCM";80;Haute;Question sur la coloration de Gram et le peptidoglycane.;"Coloration de Gram; peptidoglycane; paroi bactérienne; capsule; membrane externe";Croire que le Gram différencie selon la capsule ou visualise toutes les bactéries;Non vu
THEME_NOSO_SHA_PLAIE_MASQUE_2023_S1;Transversal-Nosocomial;SHA plaies et masques;3;S1;"DL;QCM";94;Ultra prioritaire;Trois QCM d’hygiène : solutions hydroalcooliques, plaie souillée et port du masque chirurgical selon situations.;"SHA; BLSE; BHRe; Pseudomonas; gale; plaie souillée; détersion; gants; masque chirurgical; grippe; tuberculose; méningocoque; rubéole; rougeole";"Croire SHA efficaces sur gale/tous virus; utiliser SHA sur plaie; confondre masque chirurgical et FFP2/précautions Air";Non vu
THEME_BACT_VECTORIEL_2023_S1;Bactériologie;Bactéries à transmission vectorielle;1;S1;"DL;QCM";76;Haute;Question sur les bactéries transmises par vecteur.;"Rickettsia spp; Borrelia burgdorferi; arthropode vecteur; maladie de Lyme";Confondre avec tétanos, botulisme ou tularémie selon la formulation exacte;Non vu
THEME_BACT_STAPH_AUREUS_2023_S1;Bactériologie;Staphylococcus aureus transmission portage;1;S1;"DL;QCM";82;Haute;Question sur S. aureus, transmission par contact et surfaces colonisées.;"Staphylococcus aureus; contact humain; surfaces colonisées; portage; pathogène opportuniste";Dire pathogène strict ou portage 90%;Non vu
THEME_BACT_TUBERCULOSE_2023_S1;Bactériologie;Tuberculose;1;S1;"DL;QCM";90;Ultra prioritaire;Question de synthèse sur tuberculose : agents, contagiosité pulmonaire, traitement initial multiple et résistances.;"Mycobacterium tuberculosis; Mycobacterium bovis; forme pulmonaire contagieuse; polychimiothérapie; résistances";"Oublier M. bovis; dire qu’il n’existe pas de résistance";Non vu
THEME_BACT_LEGIONELLA_2023_S1;Bactériologie;Legionella pneumophila;1;S1;"DL;QCM";90;Ultra prioritaire;Question classique sur Legionella pneumophila : hydrique, déclaration obligatoire, culture lente et antigénurie.;"Legionella; contamination hydrique; déclaration obligatoire; culture spécifique lente; antigénurie";Croire transmission strictement interhumaine;Non vu
THEME_BACT_SEUILS_QUANTITATIFS_2023_S1;Bactériologie;Seuils quantitatifs ECBU et expectoration;2;S1;"DL;QRU";84;Haute;Deux questions sur seuils d’interprétation : E. coli dans les urines et pneumocoque dans expectoration.;"E. coli; ECBU; 1000 UFC/mL; Streptococcus pneumoniae; expectoration; 10000000 UFC/mL";Confondre les seuils selon prélèvement et contexte;Non vu
THEME_BACT_OMA_PNEUMO_HI_2023_S1;Bactériologie;Otite moyenne aiguë pneumocoque Haemophilus;2;S1;"DP;QCM";94;Ultra prioritaire;DP centré sur l’otite moyenne aiguë : agents principaux et mécanismes d’échec de l’amoxicilline.;"Streptococcus pneumoniae; Haemophilus influenzae; amoxicilline; PLP pneumocoque; pénicillinase H. influenzae; PLP H. influenzae";"Attribuer une pénicillinase au pneumocoque; oublier H. influenzae dans OMA";Non vu
THEME_BACT_MENINGITE_PNEUMOCOQUE_2023_S1;Bactériologie;Méningite bactérienne à pneumocoque;4;S1;"DP;QROC;QCM";96;Ultra prioritaire;Le DP évolue vers une méningite à pneumocoque : LCS, glycorachie/glycémie, diagnostic rapide et céfotaxime.;"LCS; leucocytes normaux 3/4/5; glycorachie; glycémie; PCR LCS; test antigénique; pneumocoque; céfotaxime; bêta-lactamine; C3G";"Interpréter glycorachie sans glycémie; confondre céfotaxime avec C1G; attendre seulement la culture";Non vu
THEME_TRANSVERSAL_VACCINS_ENFANT_2023_S1;Transversal-Nosocomial;Vaccins obligatoires et vaccin pneumococcique;2;S1;"DP;QCM;QROC";88;Très haute;Le DP teste les vaccins obligatoires de l’enfant et la structure ciblée par le vaccin pneumococcique.;"Hib; méningocoque C; diphtérie; rougeole; oreillons; vaccin pneumococcique; capsule; polysaccharides capsulaires";"Oublier Hib/méningocoque C; répondre peptidoglycane au lieu de capsule";Non vu
THEME_NOSO_INFECTION_ENTERIQUE_2023_S1;Transversal-Nosocomial;Infection entérique hospitalière et précautions;2;S1;"DP;QCM;QRU";90;Ultra prioritaire;Fin du DP sur diarrhée hospitalière pédiatrique et mesures d’hygiène associées aux infections entériques.;"Virologie des selles; infection entérique; chambre seule; tablier usage unique; précautions contact; hygiène hospitalière";"Confondre avec gouttelettes/masque chirurgical; répondre C. difficile alors que correction attend virologie des selles";Non vu
THEME_PARA_CANDIDA_CANDIDEMIE_2023_S1;Parasitologie-Mycologie;Candida et candidémie;2;S1;"DL;QCM";94;Ultra prioritaire;DL1 teste Candida spp. comme levures bourgeonnantes et les facteurs de risque de candidémie.;"Candida; levure; bourgeonnement; cathéters; antibiothérapie large spectre; neutropénie; candidémie";"Confondre Candida avec dermatophytes/filamenteux; élargir à tort les facteurs selon la correction";Non vu
THEME_PARA_AMIBIASE_2023_S1;Parasitologie-Mycologie;Amibiase hépatique;2;S1;"DL;QCM;QRU";92;Ultra prioritaire;Questions sur diagnostic d’amibiase hépatique et espèce responsable.;"Entamoeba histolytica; sérologie amibiase; PCR pus d’abcès; amibiase hépatique";"Confondre Entamoeba histolytica avec Entamoeba dispar; attendre hyperéosinophilie ou EPS positif";Non vu
THEME_PARA_LEVURES_2023_S1;Parasitologie-Mycologie;Levures et Cryptococcus;2;S1;"DL;QCM;QRU";88;Très haute;DL1 teste les champignons levuriformes et la capsule de Cryptococcus à l’encre de Chine.;"Candida albicans; Cryptococcus neoformans; levures; capsule; encre de Chine";"Confondre levures avec Aspergillus/Trichophyton; répondre paroi au lieu de capsule";Non vu
THEME_PARA_PALUDISME_2023_S1;Parasitologie-Mycologie;Paludisme espèces et traitement simple;2;S1;"DL;QCM";94;Ultra prioritaire;Questions sur espèces humaines de Plasmodium et traitement de l’accès simple à P. falciparum.;"Plasmodium vivax; falciparum; ovale; malariae; accès simple; urgence thérapeutique; association antipaludique";"Cocher P. berghei; confondre accès simple et grave; imposer IV systématique";Non vu
THEME_PARA_TAENIA_SOLIUM_2023_S1;Parasitologie-Mycologie;Taenia solium;1;S1;"DL;QCM";86;Très haute;Question sur Taenia solium : porc, taeniasis et cysticercose.;"Taenia solium; porc peu cuit; taeniasis; cysticercose; forme larvaire humaine";Confondre avec Taenia saginata lié au bœuf;Non vu
THEME_PARA_ASCARI_OXYUROSE_GALE_2023_S1;Parasitologie-Mycologie;Ascaridiose oxyurose et gale;3;S1;"DL;QCM";92;Ultra prioritaire;Trois questions sur parasitoses fréquentes : ascaridiose, oxyurose et gale.;"Ascaridiose; éosinophilie; syndrome de Löffler; troubles digestifs; Enterobius vermicularis; contamination digestive; transmission interhumaine; gale; traitement collectif; linge 60°C";"Confondre oxyurose et anguillulose; traiter seulement le patient gale; oublier syndrome de Löffler";Non vu
THEME_PARA_ASPERGILLOSE_2023_S1;Parasitologie-Mycologie;Aspergillose invasive et Aspergillus fumigatus;3;S1;"DL;QCM;QRU";94;Ultra prioritaire;DL1 teste les marqueurs d’aspergillose invasive, l’espèce la plus fréquente et l’aspect microscopique d’A. fumigatus.;"Aspergillus fumigatus; galactomannane; PCR Aspergillus; filaments septés; filaments branchés; champignon filamenteux";"Confondre galactomannane et mannane; confondre Aspergillus avec Candida/Cryptococcus";Non vu
THEME_PARA_PNEUMOCYSTOSE_2023_S1;Parasitologie-Mycologie;Pneumocystose transmission et traitement;2;S1;"DL;QCM;QRU";88;Très haute;Questions sur contamination de Pneumocystis et traitement de référence.;"Pneumocystose; voie respiratoire; transmission interhumaine; triméthoprime-sulfaméthoxazole; cotrimoxazole";"Confondre avec helminthoses transcutanées; traiter par azolés classiques";Non vu
THEME_PARA_GIARDIASE_TEIGNE_2023_S1;Parasitologie-Mycologie;Giardiase et teigne du cuir chevelu;2;S1;"DL;QCM;QRU";84;Haute;Questions diagnostiques : giardiase par selles/PCR et teigne par examen direct cheveux/squames.;"Giardia; examen parasitologique des selles; PCR; teigne; examen direct cheveux; squames; dermatophytes";"Utiliser sérologie pour Giardia; mettre culture seule en premier pour teigne";Non vu
THEME_PARA_TOXOPLASMOSE_GROSSESSE_2023_S1;Parasitologie-Mycologie;Toxoplasmose et grossesse;11;S1;"DP;QCM;QROC;QCU";98;Ultra prioritaire;DP entier consacré à la toxoplasmose pendant la grossesse : agent, formes contaminantes, sérologie, prévention, séroconversion, diagnostic fœtal, bilan néonatal et surveillance.;"Toxoplasma gondii; parasite; kyste; oocyste; IgG; IgM; premier trimestre; femme enceinte non immunisée; sérologie mensuelle; mesures hygiéno-diététiques; viande crue; crudités; litière; séroconversion; échographie fœtale; PCR liquide amniotique; échographie transfontanellaire; fond d’œil; profils sérologiques mère/enfant; surveillance postnatale";"Confondre transmission et gravité selon le terme; proposer vaccination ou chimioprophylaxie en absence d’infection; oublier la surveillance postnatale; confondre toxoplasmose avec parasitose à hyperéosinophilie";Non vu
THEME_PARA_TOXOPLASMOSE_CONGENITALE_2023_S1;Parasitologie-Mycologie;Toxoplasmose congénitale;5;S1;"DP;QCM";96;Ultra prioritaire;Sous-thème majeur du DP : passage transplacentaire, risque selon terme, PCR amniotique, bilan néonatal et suivi.;"Passage transplacentaire; transmission faible début grossesse; gravité élevée début grossesse; transmission élevée fin grossesse; PCR liquide amniotique; bilan néonatal; fond d’œil; échographie transfontanellaire; IgG maternelles; surveillance ophtalmologique";"Arrêter la surveillance si bilan néonatal initial négatif; croire que les IgG transmises persistent toute la vie";Non vu
THEME_VIRO_GROSSESSE_DEPISTAGE_2023_S2;Virologie;Grossesse non suivie dépistages urgents;2;S2;"DP;QCM;QROC";94;Ultra prioritaire;DP virologie en contexte d’accouchement imminent : dépistage urgent Ag HBs, TROD VIH et immunité rubéole.;"Grossesse non suivie; accouchement; antigène HBs; TROD VIH; rubéole; immunité rubéole";"Multiplier les sérologies non urgentes; oublier l’impact immédiat pour le nouveau-né";Non vu
THEME_VIRO_VHB_MATERNO_FOETAL_2023_S2;Virologie;VHB grossesse et transmission mère-enfant;3;S2;"DP;QCM";97;Ultra prioritaire;Le DP teste la transmission mère-enfant du VHB, le dépistage Ag HBs et la séro-vaccination néonatale.;"VHB; Ag HBs; transmission accouchement; séro-vaccination; nouveau-né; chronicité fréquente chez enfant; voie materno-fœtale";"Retarder la prévention à 72h; confondre VHB avec VHA/VHE; sous-estimer le risque de chronicité néonatale";Non vu
THEME_VIRO_VHB_AIGU_CHRONIQUE_2023_S2;Virologie;Hépatite B aiguë et chronique;5;S2;"DP;QCM;QRU";98;Ultra prioritaire;Thème central du DP : IgM anti-HBc pour hépatite aiguë, Ag HBs persistant 6 mois pour chronicité, sérologie et suivi virologique.;"IgM anti-HBc; hépatite B aiguë; Ag HBs >6 mois; hépatite B chronique; ADN VHB; anti-HBs négatif; charge virale VHB; Ag HBe; anti-HBe";"Définir chronicité par un seuil de charge virale; confondre anti-HBs immunité et infection chronique";Non vu
