id;annee;session;source_pdf;bloc_annale;sous_matiere_app;type;numero_question;theme;sous_theme;question_resume;propositions_resume;reponse;correction_source;explication_courte;piege;priorite_provisoire;statut
QCM_2022_S1_VIRO_DP2_010;2021-2022;S1;infectio 21-22 ses 1.pdf;DP2;Virologie;QCM;10;Zona ophtalmique;VZV et encéphalite;QCM sur une éruption vésiculeuse du territoire ophtalmique du trijumeau ne dépassant pas la ligne médiane.;A topographie évoque zona | B zona fréquemment accompagné méningite biologique | C sujet âgé : zona peut compliquer encéphalite VZV | D diagnostic encéphalite VZV par PCR vésicule cutanée | E zona ophtalmique personne âgée nécessite traitement;ACE;correction_pdf;"Une éruption métamérique unilatérale évoque un zona ; chez le sujet âgé, une complication neurologique à VZV est possible, et le zona ophtalmique nécessite un traitement en raison du risque de complications.";Ne pas diagnostiquer une encéphalite VZV uniquement par PCR de vésicule : l’atteinte neurologique nécessite l’analyse du LCS.;Très haute;Non vu
QCM_2022_S1_PARA_DP3_001;2021-2022;S1;infectio 21-22 ses 1.pdf;DP3;Parasitologie-Mycologie;QRU;1;Paludisme;Fièvre au retour de zone d’endémie;QRU sur l’examen à demander en urgence devant une diarrhée fébrile chez une patiente revenant du Mali.;A examen parasitologique des selles | B coproculture | C recherche de paludisme | D ECBU | E CRP;C;correction_pdf;Toute fièvre au retour d’une zone d’endémie palustre impose d’éliminer un paludisme en urgence, même si un symptôme digestif est présent.;Se laisser orienter uniquement par la diarrhée et oublier la recherche urgente de paludisme.;Très haute;Non vu
QCM_2022_S1_PARA_DP3_002;2021-2022;S1;infectio 21-22 ses 1.pdf;DP3;Parasitologie-Mycologie;QCM;2;Plasmodium falciparum;Caractéristiques et gravité;QCM sur Plasmodium falciparum après frottis sanguin montrant 1% de globules rouges parasités.;A protozoaire | B transmis par phlébotome | C rechutes des mois après traitement bien conduit | D majorité des accès palustres graves | E majorité des accès palustres dans le monde;ADE;correction_pdf;"P. falciparum est un protozoaire, responsable de la majorité des formes graves et très fréquent dans le monde ; il n’est pas transmis par phlébotome et ne donne pas de rechutes par hypnozoïtes comme P. vivax/ovale.";"Confondre anophèle et phlébotome ; attribuer à P. falciparum les rechutes hépatiques de P. vivax/ovale.";Très haute;Non vu
QCM_2022_S1_PARA_DP3_003;2021-2022;S1;infectio 21-22 ses 1.pdf;DP3;Parasitologie-Mycologie;QRU;3;Paludisme;Transmission vectorielle;QRU sur le mode de transmission de Plasmodium falciparum à l’homme.;A voie transcutanée | B péril fécal | C piqûre d’insecte | D viande pas cuite | E contact;C;correction_pdf;Plasmodium falciparum est transmis à l’homme par la piqûre d’un moustique vecteur, classiquement l’anophèle femelle.;Ne pas confondre paludisme avec parasitoses digestives ou transmission alimentaire.;Très haute;Non vu
QCM_2022_S1_PARA_DP3_004;2021-2022;S1;infectio 21-22 ses 1.pdf;DP3;Parasitologie-Mycologie;QCM;4;Plasmodium;Espèces humaines;QCM sur les espèces de Plasmodium capables de provoquer une crise de paludisme chez l’homme.;A Plasmodium vivax | B Plasmodium gallinaceum | C Plasmodium ovale | D Plasmodium berghei | E Plasmodium malariae;ACE;correction_pdf;"P. vivax, P. ovale et P. malariae font partie des espèces humaines classiques ; la question ne retient pas P. falciparum car il n’est pas proposé dans cette liste.";Ne pas cocher des espèces expérimentales ou animales comme P. berghei/gallinaceum.;Très haute;Non vu
QCM_2022_S1_PARA_DP3_005;2021-2022;S1;infectio 21-22 ses 1.pdf;DP3;Parasitologie-Mycologie;QCM;5;Plasmodium falciparum;Cycle chez l’homme;QCM sur les caractéristiques de Plasmodium falciparum chez l’homme.;A infecte les globules rouges | B responsable onychomycoses | C hématuries récidivantes enfant | D phase pré-érythrocytaire asymptomatique | E kystes musculaires;AD;correction_pdf;P. falciparum infecte les globules rouges et a une phase pré-érythrocytaire hépatique asymptomatique avant la phase sanguine.;Confondre paludisme avec mycose, bilharziose urinaire ou toxoplasmose musculaire.;Très haute;Non vu
QCM_2022_S1_PARA_DP3_006;2021-2022;S1;infectio 21-22 ses 1.pdf;DP3;Parasitologie-Mycologie;QCM;6;Paludisme simple;Traitement de l’accès simple à P. falciparum;QCM sur le traitement de l’accès palustre simple à Plasmodium falciparum.;A urgence thérapeutique | B toujours traitement IV | C association thérapeutique de deux antipaludiques | D poursuivi 15 jours | E associé à traitement prophylactique;AC;correction_pdf;Un accès palustre simple à P. falciparum reste une urgence thérapeutique et repose sur une association antipaludique, sans traitement IV systématique ni durée de 15 jours.;"Confondre accès simple et accès grave ; penser que le traitement IV est toujours obligatoire.";Très haute;Non vu
QCM_2022_S1_PARA_DP3_007;2021-2022;S1;infectio 21-22 ses 1.pdf;DP3;Parasitologie-Mycologie;QCM;7;Paludisme grave;Critères biologiques de gravité;QCM sur les critères biologiques définissant un accès palustre grave à Plasmodium falciparum.;A anémie sévère Hb <70 g/L | B CRP >100 mg/L | C créatininémie >265 micromol/L | D co-infection P. vivax | E hypoglycémie <2,2 mmol/L;ACE;correction_pdf;L’anémie sévère, l’insuffisance rénale avec créatininémie élevée et l’hypoglycémie font partie des critères de gravité du paludisme.;Ne pas prendre la CRP comme critère de gravité spécifique du paludisme.;Très haute;Non vu
QCM_2022_S1_PARA_DP3_008;2021-2022;S1;infectio 21-22 ses 1.pdf;DP3;Parasitologie-Mycologie;QCM;8;Paludisme grave;Critères cliniques de gravité;QCM sur les critères cliniques définissant un accès palustre grave à Plasmodium falciparum.;A trouble de la conscience | B selles liquides >5/j | C hémorragie | D collapsus circulatoire | E douleurs musculaires;ACD;correction_pdf;Les troubles de conscience, hémorragies et collapsus circulatoire sont des critères cliniques de gravité du paludisme.;Confondre symptômes fréquents ou non spécifiques avec critères de gravité.;Très haute;Non vu
QCM_2022_S1_PARA_DP3_009;2021-2022;S1;infectio 21-22 ses 1.pdf;DP3;Parasitologie-Mycologie;QCM;9;Paludisme simple;Traitement oral;QCM sur les traitements possibles d’un accès palustre simple sans critère de gravité.;A paracétamol | B amoxicilline | C atovaquone-proguanil | D lopéramide | E artéméther-luméfantrine;CE;correction_pdf;L’accès palustre simple à P. falciparum peut être traité par atovaquone-proguanil ou artéméther-luméfantrine selon les recommandations locales et le contexte.;"Ne pas traiter le paludisme par antibiotique ; éviter de réduire la prise en charge au seul traitement symptomatique.";Très haute;Non vu
QCM_2022_S1_PARA_DP3_010;2021-2022;S1;infectio 21-22 ses 1.pdf;DP3;Parasitologie-Mycologie;QCM;10;Prévention du paludisme;Voyage en zone d’endémie;QCM sur les recommandations pour éviter une infection palustre lors d’un voyage au Cameroun.;A chimioprophylaxie | B viande bien cuite | C éviter crudités | D protection contre moustiques | E éviter baignade lacs;AD;correction_pdf;La prévention du paludisme repose sur la chimioprophylaxie adaptée et la protection contre les piqûres de moustiques.;Confondre prévention du paludisme avec prévention des parasitoses digestives ou de la bilharziose.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_001;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Transversal-Nosocomial;QCM;1;Antiseptiques;Détersion peau plaie muqueuses;QCM sur les antiseptiques : peau souillée, plaie, muqueuses et BMR.;A élimination définitive agents infectieux | B détersion si peau souillée | C antiseptique alcoolique contre-indiqué sur plaie | D chlorhexidine contre-indiquée sur muqueuses | E inefficaces sur BMR;BCD;correction_pdf;"Une peau souillée doit être nettoyée avant antisepsie ; l’alcool est contre-indiqué sur plaie et la chlorhexidine ne s’utilise pas sur les muqueuses.";Croire que l’antisepsie élimine définitivement les agents infectieux ou qu’elle est inefficace sur BMR.;Haute;Non vu
QCM_2022_S1_BACT_DL1_002;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Transversal-Nosocomial;QCM;2;Résistance antibiotique;SARM BMR rapatriement consommation antibiotique;QCM sur l’épidémiologie de la résistance antibiotique, le rapatriement et la consommation d’antibiotiques.;A SARM en augmentation neutralisée | B résistance plus faible pays faibles revenus | C rapatriement facteur risque BMR | D France parmi forts consommateurs OCDE | E BHRe uniquement hôpitaux;CD;correction_pdf;"Le rapatriement est un facteur de risque de portage de BMR et la France fait partie des pays de l’OCDE à forte consommation d’antibiotiques ; la proposition A est neutralisée dans la correction.";Croire que les BHRe ne sont isolées qu’à l’hôpital ou que la résistance est plus faible dans les pays à faibles revenus.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_003;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Transversal-Nosocomial;QCM;3;Déclaration obligatoire;Signalement notification tuberculose;QCM sur la déclaration obligatoire des maladies en France.;A signalement nominatif sans délai pour beaucoup de maladies | B notification anonyme secondaire | C liste actualisée selon risques | D tuberculose à déclaration obligatoire | E seulement maladies mortelles;ABCD;correction_pdf;La déclaration obligatoire associe selon les maladies signalement, notification, actualisation de la liste, et la tuberculose en fait partie.;Penser que la déclaration obligatoire ne concerne que les maladies ayant entraîné un décès.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_004;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;4;Infections cutanéo-muqueuses;Bactéries principales;QCM sur les principales bactéries impliquées dans les infections cutanéo-muqueuses.;A Streptococcus oralis | B Streptococcus pneumoniae | C Streptococcus pyogenes | D Staphylococcus aureus | E Staphylococcus epidermidis;CD;correction_pdf;Les infections cutanéo-muqueuses sont classiquement dominées par Streptococcus pyogenes et Staphylococcus aureus.;Confondre bactéries commensales ou respiratoires avec les principales bactéries cutanées pathogènes.;Haute;Non vu
QCM_2022_S1_BACT_DL1_005;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;5;Bêta-lactamases;Amoxicilline-acide clavulanique;QCM sur les bactéries pouvant être résistantes à l’amoxicilline seule mais sensibles à amoxicilline-acide clavulanique.;A streptocoque A | B Moraxella catarrhalis | C Staphylococcus aureus | D Streptococcus pneumoniae | E Haemophilus influenzae;BCE;correction_pdf;Moraxella, Staphylococcus aureus et Haemophilus influenzae peuvent produire des bêta-lactamases inhibées par l’acide clavulanique.;Ne pas mettre les streptocoques bêta-hémolytiques du groupe A, naturellement sensibles à l’amoxicilline.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_006;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;6;Infections respiratoires communautaires;Bronchiolite bronchite flore commensale;QCM sur les infections respiratoires communautaires : H. influenzae, bronchiolite, bronchite aiguë et coqueluche.;A H. influenzae peut être commensal | B bronchiolite nourrisson bactérienne | C bronchiolite fréquente pic hiver | D bronchite aiguë surtout Bordetella pertussis | E coqueluche virale;AC;correction_pdf;"H. influenzae peut être présent dans la flore oropharyngée sans infection ; la bronchiolite du nourrisson est fréquente avec pic hivernal et elle est principalement virale.";Confondre bronchiolite bactérienne et virale, ou bronchite aiguë avec coqueluche.;Haute;Non vu
QCM_2022_S1_BACT_DL1_007;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;7;Hémocultures;Contamination versus infection;QCM sur les éléments aidant à différencier contamination et infection devant des cocci Gram positif en amas dans une hémoculture.;A regarder Gram/PNN | B délai de positivité | C nouvelle paire hémoculture | D identification S. aureus par PCR | E volume de sang flacon;BCD;correction_pdf;Le délai de positivité, la répétition sur une nouvelle paire et l’identification de S. aureus aident à interpréter une hémoculture positive à cocci Gram positif en amas.;Le volume de sang est important pour la sensibilité, mais pas l’argument principal pour distinguer contamination et infection.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_008;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;8;Méningite bactérienne adulte;Agents communautaires;QCM sur les bactéries responsables de méningite bactérienne communautaire chez l’adulte.;A Neisseria meningitidis | B Streptococcus pneumoniae | C Listeria monocytogenes | D Pseudomonas aeruginosa | E Escherichia coli;ABC;correction_pdf;Chez l’adulte, les causes communautaires classiques incluent pneumocoque, méningocoque et Listeria selon le terrain.;Ne pas oublier Listeria, surtout chez les sujets âgés ou immunodéprimés.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_009;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;9;Chlamydia trachomatis;IST infertilité intracellulaire PCR;QCM sur Chlamydia trachomatis : Gram, infertilité, intracellulaire, diagnostic PCR et culture.;A bacille Gram positif | B infertilité femme | C développement intracellulaire strict | D diagnostic par PCR | E culture indispensable antibiogramme;BCD;correction_pdf;C. trachomatis est une bactérie intracellulaire stricte, responsable d’infertilité tubaire, diagnostiquée par PCR.;"Ne pas la classer comme bacille Gram positif ; la culture n’est pas indispensable au diagnostic courant.";Très haute;Non vu
QCM_2022_S1_BACT_DL1_010;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Transversal-Nosocomial;QCM;10;Grossesse;Sérologies obligatoires ou recommandées;QCM sur les sérologies obligatoires ou recommandées lors de la déclaration de grossesse.;A rubéole | B hépatite B Ag HBs | C syphilis | D listériose | E toxoplasmose;ABCE;correction_pdf;Rubéole, Ag HBs, syphilis et toxoplasmose font partie des dépistages obligatoires ou recommandés lors de la grossesse.;Inclure la listériose dans les sérologies de déclaration de grossesse.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_011;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;11;Salmonelles majeures;Typhi Paratyphi;QCM sur les salmonelles majeures responsables de bactériémies chez un immunocompétent.;A Salmonella Typhimurium | B Salmonella Enteritidis | C Salmonella Typhi | D Salmonella Paratyphi A | E Salmonella Arizonae;CD;correction_pdf;Les salmonelles majeures typhiques, notamment Typhi et Paratyphi A, peuvent donner des bactériémies chez l’immunocompétent.;Confondre salmonelles majeures typhiques avec salmonelles non typhiques fréquentes.;Haute;Non vu
QCM_2022_S1_BACT_DL1_012;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Transversal-Nosocomial;QCM;12;Hygiène des mains;Friction hydroalcoolique limites;QCM sur l’hygiène des mains et l’efficacité des solutions hydroalcooliques.;A technique de référence = friction hydroalcoolique | B inutile si gants | C SHA efficaces spores C. difficile | D SHA efficaces SARS-CoV-2 | E SHA efficaces œufs ectoparasites gale;AD;correction_pdf;"La friction hydroalcoolique est la technique de référence si les mains ne sont pas souillées et elle est efficace sur SARS-CoV-2 ; elle ne suffit pas contre spores de C. difficile ou œufs d’ectoparasites.";Croire que les gants remplacent l’hygiène des mains ou que les SHA agissent sur spores/œufs.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_013;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;13;Coproculture standard;Bactéries systématiquement recherchées;QCM sur les bactéries recherchées systématiquement en coproculture standard.;A Campylobacter sp | B Shigella sp | C E. coli producteur de Shiga-toxine | D Salmonella sp | E Staphylococcus aureus;ABD;correction_pdf;"La coproculture standard recherche classiquement Salmonella, Shigella et Campylobacter ; certaines recherches comme STEC peuvent nécessiter une demande spécifique selon les contextes.";Croire que tous les agents de diarrhée sont recherchés automatiquement.;Haute;Non vu
QCM_2022_S1_BACT_DL1_014;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;14;Tuberculose;Agents du complexe tuberculosis;QCM sur les deux autres agents responsables de tuberculose en dehors de Mycobacterium tuberculosis.;A Mycobacterium bovis | B Mycobacterium abscessus | C Mycobacterium marinum | D Mycobacterium africanum | E Mycobacterium kansasii;AD;correction_pdf;M. bovis et M. africanum appartiennent au complexe M. tuberculosis et peuvent être responsables de tuberculose.;Confondre mycobactéries atypiques et agents de tuberculose.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_015;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;15;Macrolides;Spectre et mécanisme;QCM sur les macrolides : spectre, synthèse protéique et érythromycine.;A principalement Gram négatif | B principalement Gram positif | C inhibent synthèse protéique | D inhibent peptidoglycane | E érythromycine = macrolide;BCE;correction_pdf;Les macrolides agissent surtout sur des bactéries Gram positives et atypiques, inhibent la synthèse protéique et l’érythromycine en fait partie.;Confondre macrolides avec bêta-lactamines : elles n’inhibent pas le peptidoglycane.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_016;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Transversal-Nosocomial;QCM;16;Précautions complémentaires;Contact Air Gouttelettes;QCM sur les maladies nécessitant des précautions complémentaires d’hygiène en hospitalisation.;A gale | B paludisme | C tuberculose | D hépatite B | E varicelle;ACE;correction_pdf;"La gale, la tuberculose et la varicelle nécessitent des précautions complémentaires adaptées ; paludisme et hépatite B relèvent surtout des précautions standard selon contexte.";"Sur-isoler paludisme ou hépatite B ; confondre standard et précautions complémentaires.";Très haute;Non vu
QCM_2022_S1_BACT_DL1_017;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;17;Gram négatif;LPS anatomie bactérienne;QCM sur les éléments anatomiques présents uniquement chez les bactéries à Gram négatif.;A noyau | B peptidoglycane | C plasmides | D capsule | E LPS;E;correction_pdf;"Le lipopolysaccharide est spécifique de la membrane externe des bactéries à Gram négatif ; les autres éléments ne sont pas spécifiques ou absents chez les bactéries.";Ne pas oublier que les bactéries n’ont pas de noyau et que le peptidoglycane existe aussi chez les Gram positif.;Haute;Non vu
QCM_2022_S1_BACT_DL1_018;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;18;Coloration de Gram;Entérobactéries et membrane externe;QCM sur la coloration de Gram et les bactéries à Gram négatif.;A visualise entérobactéries | B visualise mycobactéries | C différencie selon capsule | D visualise mycoplasmes | E Gram négatif ont membrane externe;AE;correction_pdf;La coloration de Gram permet de visualiser les entérobactéries et les bactéries à Gram négatif possèdent une membrane externe.;Ne pas dire que le Gram différencie selon la capsule ou visualise les mycobactéries/mycoplasmes.;Haute;Non vu
QCM_2022_S1_BACT_DL1_019;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;19;Capsule bactérienne;Polysaccharides immunogène vaccins;QCM sur la capsule bactérienne : composition, rôle anti-phagocytaire et intérêt vaccinal.;A polysaccharides | B peptidoglycane | C protection complément/phagocytose | D protection anticorps hôte | E immunogène de nombreux vaccins antibactériens;ACE;correction_pdf;La capsule est souvent polysaccharidique, protège contre phagocytose/complément et constitue un antigène vaccinal important.;Confondre capsule et peptidoglycane.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_020;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;20;SARM;mecA PLP2a résistance aux bêta-lactamines;QCM sur les antibiotiques auxquels S. aureus devient résistant après acquisition du gène mecA codant PLP2a.;A C3G | B amoxicilline-acide clavulanique | C C1G | D imipénème | E vancomycine;ABCD;correction_pdf;Le gène mecA entraîne une résistance aux bêta-lactamines anti-staphylococciques et plus largement aux bêta-lactamines classiques, mais pas à la vancomycine.;Ne pas cocher la vancomycine : c’est un glycopeptide actif sur de nombreux SARM.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_021;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QCM;21;Antibiotiques;Synthèse protéique;QCM sur les familles d’antibiotiques agissant sur la synthèse protéique.;A fluoroquinolones | B bêta-lactamines | C macrolides | D glycopeptides | E aminosides;CE;correction_pdf;"Macrolides et aminosides inhibent la synthèse protéique ; fluoroquinolones agissent sur l’ADN et bêta-lactamines/glycopeptides sur la paroi.";Confondre synthèse protéique, ADN et paroi bactérienne.;Très haute;Non vu
QCM_2022_S1_BACT_DL1_022;2021-2022;S1;infectio 21-22 ses 1.pdf;DL1;Bactériologie;QRU;22;Microbiote vaginal;Lactobacillus;QRU sur la bactérie prédominante du microbiote vaginal en condition physiologique.;A Escherichia coli | B Streptococcus agalactiae | C Gardnerella vaginalis | D Lactobacillus spp | E Trichomonas vaginalis;D;correction_pdf;Le microbiote vaginal physiologique est dominé par les Lactobacillus spp.;Confondre microbiote vaginal normal avec vaginose à Gardnerella.;Haute;Non vu
QCM_2022_S1_VIRO_DL2_001;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;1;Structure virale;Capside et enveloppe;QCM sur les éléments entrant dans la constitution des particules virales.;A capside | B pili | C LPS | D enveloppe | E plasmide;AD;correction_pdf;"Une particule virale comporte une capside et peut comporter une enveloppe ; pili, LPS et plasmides relèvent du monde bactérien.";Confondre structure virale et structure bactérienne.;Haute;Non vu
QCM_2022_S1_VIRO_DL2_002;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;2;Fièvres éruptives enfant;Parvovirus B19 et rougeole;QCM sur les virus responsables de fièvres éruptives chez l’enfant.;A parvovirus B19 | B rotavirus | C adénovirus | D astrovirus | E virus de la rougeole;AE;correction_pdf;Le parvovirus B19 et le virus de la rougeole sont des causes classiques de fièvres éruptives chez l’enfant.;Ne pas confondre virus digestifs et virus responsables d’exanthèmes fébriles.;Haute;Non vu
QCM_2022_S1_VIRO_DL2_003;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;3;Diagnostic infection respiratoire virale;Prélèvements respiratoires;QCM sur les prélèvements recommandés pour la recherche d’une infection respiratoire virale.;A écouvillonnage rectal | B expectoration | C écouvillonnage nasopharyngé | D aspiration nasopharyngée | E écouvillonnage buccal;CD (question annulée);correction_pdf;La correction indique une question annulée mais retient CD : les prélèvements nasopharyngés, écouvillonnage ou aspiration, sont les plus adaptés aux infections respiratoires virales.;Ne pas utiliser des prélèvements non respiratoires pour une infection respiratoire virale.;Haute;Non vu
QCM_2022_S1_VIRO_DL2_004;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;4;VIH;Diagnostic confirmation et suivi;QCM sur le diagnostic de l’infection à VIH.;A ELISA 4e génération spécifiques VIH-1 | B anticorps apparaissent en moyenne 1 an | C confirmation par Western blot puis ELISA 4e génération sur second prélèvement | D ARN VIH plasmatique meilleur marqueur réplication | E nouveau-né diagnostic par anticorps anti-VIH;CD;correction_pdf;"La confirmation repose sur Western blot sur le premier prélèvement puis un test ELISA sur un second prélèvement ; l’ARN VIH plasmatique suit la réplication virale.";"Confondre dépistage, confirmation et suivi ; utiliser les anticorps chez le nouveau-né.";Très haute;Non vu
QCM_2022_S1_VIRO_DL2_005;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;5;HPV;Papillomavirus verrues cancers col;QCM sur les papillomavirus : verrues, transmission, cancers et vaccination.;A responsables de verrues | B transmission principalement materno-fœtale | C hauts risques oncogènes responsables quasi-totalité cancers col utérus | D vaccination recommandée tous âges | E vaccination dispense dépistage col;AC;correction_pdf;Les papillomavirus peuvent causer des verrues et les HPV à haut risque oncogène sont responsables de la quasi-totalité des cancers du col de l’utérus.;Croire que la vaccination dispense du dépistage ou qu’elle est recommandée à tous les âges.;Très haute;Non vu
QCM_2022_S1_VIRO_DL2_006;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;6;Vaccin hépatite B;Anticorps anti-HBs et obligation professionnels;QCM sur le vaccin contre l’hépatite B.;A virus vivant atténué | B une seule injection | C induit anticorps anti-HBc | D induit anticorps anti-HBs | E obligatoire professions médicales;DE;correction_pdf;"La vaccination contre l’hépatite B induit des anticorps anti-HBs et est obligatoire pour les professions médicales ; elle n’induit pas d’anti-HBc.";Confondre immunité vaccinale anti-HBs et infection naturelle avec anti-HBc.;Très haute;Non vu
QCM_2022_S1_VIRO_DL2_007;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;7;Hépatite A;Diagnostic IgM et vaccin;QCM sur l’hépatite A : transmission, chronicité, diagnostic et vaccin.;A diagnostic par culture cellulaire | B transmission sanguine | C pas d’hépatite chronique | D diagnostic par IgM anti-HAV | E vaccin disponible;CDE;correction_pdf;Le VHA ne donne pas d’hépatite chronique, le diagnostic d’hépatite A aiguë repose sur les IgM anti-HAV et il existe un vaccin.;Confondre VHA avec VHB/VHC pour la chronicité ou la transmission sanguine.;Haute;Non vu
QCM_2022_S1_VIRO_DL2_008;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;8;CMV congénital;Diagnostic nouveau-né et séquelles;QCM sur l’infection congénitale à CMV.;A infection congénitale la plus fréquente | B séquelles surtout infection maternelle 3e trimestre | C déficit auditif possible | D PCR CMV urines nouveau-né 15 premiers jours signe infection in utero | E retard psychomoteur possible;ACDE;correction_pdf;Le CMV congénital est fréquent, peut causer déficit auditif et retard psychomoteur, et la PCR urinaire précoce chez le nouveau-né signe une infection congénitale.;Croire que les séquelles surviennent surtout lors d’une infection maternelle tardive.;Très haute;Non vu
QCM_2022_S1_VIRO_DL2_009;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;9;Rubéole grossesse;Dépistage IgG et vaccination post-partum;QCM sur le dépistage sérologique de la rubéole pendant la grossesse.;A réalisé première consultation prénatale | B dosage IgG anti-rubéole | C dosage IgM anti-rubéole | D répété mensuellement si non immunisée | E vaccination proposée après accouchement si non immunisée;ABE;correction_pdf;"Le dépistage rubéole repose sur les IgG à la première consultation prénatale ; si non immunisée, la vaccination est proposée après l’accouchement.";Vacciner pendant la grossesse ou utiliser les IgM comme dépistage systématique.;Très haute;Non vu
QCM_2022_S1_VIRO_DL2_010;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;10;Physiopathologie virale;Transformation cellulaire et effet cytopathogène;QCM sur les effets des infections virales sur les cellules.;A infection virale toujours lytique | B transformation cellulaire possible | C effet cytopathogène = altération morphologique cellule infectée | D virus n’utilisent que enzymes cellulaires | E génome viral toujours intégré;BC;correction_pdf;Certains virus peuvent entraîner une transformation cellulaire, et un effet cytopathogène correspond à une altération morphologique de la cellule infectée.;Croire que toute infection virale est lytique ou que le génome viral est toujours intégré.;Haute;Non vu
QCM_2022_S1_VIRO_DL2_011;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;11;Grippe;Épidémie saisonnière vaccin annuel formes graves;QCM sur le virus de la grippe.;A épidémies saisonnières | B vaccin adapté annuellement | C diagnostic par PCR sanguine | D enfants 5-10 ans formes plus sévères | E personnes âgées à risque de forme grave;ABE;correction_pdf;La grippe donne des épidémies saisonnières, le vaccin est adapté annuellement aux souches circulantes, et les personnes âgées sont à risque de forme grave.;"Confondre PCR respiratoire et PCR sanguine ; croire que les enfants de 5-10 ans sont le groupe de gravité principal.";Haute;Non vu
QCM_2022_S1_VIRO_DL2_012;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;12;Transmission virale;Aérienne indirecte seringue;QCM sur les modes de transmission des virus.;A transmission aérienne possible | B aucun virus transmis sexuellement | C transmission indirecte possible | D mère-enfant toujours accouchement | E transmission indirecte par seringue souillée possible;ACE;correction_pdf;Les virus peuvent se transmettre par voie aérienne, indirectement, et par du matériel contaminé comme des seringues souillées.;Oublier les transmissions sexuelle, materno-fœtale in utero ou par allaitement.;Haute;Non vu
QCM_2022_S1_VIRO_DL2_013;2021-2022;S1;infectio 21-22 ses 1.pdf;DL2;Virologie;QCM;13;Herpesviridae;CMV EBV;QCM sur les virus appartenant à la famille des Herpesviridae.;A cytomégalovirus | B Zika virus | C adénovirus | D Epstein Barr virus | E norovirus;AD;correction_pdf;Le cytomégalovirus et Epstein-Barr virus appartiennent à la famille des Herpesviridae.;Confondre Herpesviridae avec arbovirus, adénovirus ou norovirus.;Très haute;Non vu
